company,Topic_0_Environmenta,Topic_1_Governance &,Topic_2_Employee Wel,Topic_3_Supply Chain,Topic_4_Climate & GH
Infosys,0.0005746838742734304,0.0005749855217249354,0.000570936408086283,0.9977050181563205,0.0005743760395947279
TCS,0.0031622805084465955,0.003193811548960005,0.0031709993707955456,0.9872788766862949,0.0031940318855029656
Wipro,0.0022540038596938583,0.0022572720034322725,0.002245287516589827,0.9909942874423024,0.0022491491779815143
ICICI Bank,0.0027691287079846722,0.9889020742686723,0.002787273760285836,0.0027757270981487456,0.0027657961649084337
HDFC Bank,0.9901366719913828,0.0024587952105952163,0.0024606012761917563,0.002480864463621625,0.0024630670582086274
SBI,0.00324755778192696,0.003264232635383955,0.9869862608060155,0.0032589196804704373,0.0032430290962031302
UltraTech Cement,0.001497933030666772,0.0014833185370674029,0.0014691585206440213,0.9940697746071895,0.0014798153044323155
Ambuja Cements,0.990970846046487,0.002266840386446824,0.002239028505197365,0.0022705973121039465,0.0022526877497648966
Tata Steel,0.0027726302672692964,0.9889169737108345,0.002761153988743465,0.0027879646354533726,0.0027612773976992836
Cipla,0.0019220285178463044,0.001916799837888654,0.0018979275702526199,0.9923479492691839,0.0019152948048284514
Sun Pharma,0.0036790111505492352,0.0036843249152424874,0.0036620114951811996,0.003695918026436039,0.9852787344125911
Dr. Reddy's,0.00278518980302942,0.988858611376151,0.0027657336664285207,0.0028037552782426128,0.002786709876148259
Tata Motors,0.001652624101774728,0.0016662941585226642,0.0016421019338255078,0.993392584018518,0.0016463957873590486
Maruti Suzuki,0.0032837016690406245,0.9868920723910282,0.003261126046055601,0.003303530729079057,0.0032595691647965114
M&M,0.0037557130561551647,0.00374670043996181,0.0037402211195175675,0.0037806576972339305,0.9849767076871315
